name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,code,position,init_price,team_code
Jean MichaÃ«l Seri,0,0,0,0,0.0,189,141,0,0,0.0,0.0,2020-12-26T15:00:00Z,0,20,0,0,0,0,15,0,2584,0,0,0.0,0,-74,21,95,46,True,0,JNMXLSR,170271,3,46,54
RaÃºl JimÃ©nez,0,0,0,0,0.0,460,148,0,0,0.0,0.0,2020-12-27T19:15:00Z,0,6,0,0,0,0,15,0,423272,1,1,0.0,0,-21929,118,22047,82,True,0,JMNSRL,102057,4,81,39
Oskar Buur,0,0,0,0,0.0,467,148,0,0,0.0,0.0,2020-12-27T19:15:00Z,0,6,0,0,0,0,15,0,197500,1,1,0.0,0,5048,12977,7929,39,True,0,PRSKR,179456,2,39,39
Kieran Tierney,1,0,17,0,12.2,17,139,1,0,2.4,7.8,2020-12-26T17:30:00Z,90,8,0,0,0,0,15,0,303802,1,3,4.0,4,-24036,2649,26685,53,True,1,KRNTRN,192895,2,52,3
JosÃ© Diogo Dalot Teixeira,0,0,0,0,0.0,314,143,0,0,0.0,0.0,2020-12-26T12:30:00Z,0,13,0,0,0,0,15,0,2293,2,2,0.0,0,-21,10,31,48,False,0,TLTTKJSTKSR,216051,2,48,1
James Bree,0,0,0,0,0.0,43,140,0,0,0.0,0.0,2020-12-26T15:00:00Z,0,31,0,0,0,0,15,0,513,0,3,0.0,0,-2,8,10,45,True,0,PRJMS,184386,2,45,7
Branislav Ivanovic,0,0,3,0,0.0,530,144,0,0,0.0,0.0,2020-12-27T16:30:00Z,1,14,0,0,0,0,15,0,9556,1,1,0.0,1,-819,360,1179,45,False,0,PRNLFFNFK,41135,2,44,35
Dennis Praet,0,0,0,0,0.0,225,143,0,0,0.0,0.0,2020-12-26T12:30:00Z,0,1,0,0,0,0,15,0,19673,2,2,0.0,0,-1687,216,1903,53,True,0,TNSPRT,106837,3,52,13
Max Lowe,0,0,0,0,0.0,511,146,0,0,0.0,0.0,2020-12-26T20:00:00Z,0,11,0,0,0,0,15,0,4281,1,0,0.0,0,-134,72,206,44,True,0,LMKS,155197,2,42,49
Brandon Williams,0,0,0,0,0.0,318,143,0,0,0.0,0.0,2020-12-26T12:30:00Z,0,13,0,0,0,0,15,0,52934,2,2,0.0,0,-1311,901,2212,42,False,0,PRNTNLMS,232937,2,42,1
Neal Maupay,0,1,24,0,6.2,68,147,2,1,8.7,36.2,2020-12-27T14:15:00Z,89,21,0,0,0,0,15,0,150630,2,2,45.0,7,-14941,2844,17785,61,False,0,MPNL,115382,4,58,36
Moise Kean,0,0,0,0,0.0,169,146,0,0,0.0,0.0,2020-12-26T20:00:00Z,0,49,0,0,0,0,15,0,15581,1,0,0.0,0,-171,17,188,57,False,0,KNMS,242058,4,57,11
Aymeric Laporte,0,0,0,0,0.0,280,145,0,0,0.0,0.0,2020-12-26T20:00:00Z,0,4,0,0,0,0,15,0,191126,0,2,0.0,0,-6958,8767,15725,60,True,0,AMRKLPRT,146941,2,60,43
