id,gw,pos,team,val,pred,score,captain,squad
Alexandre Lacazette,3,3.0,Arsenal,8.5,6.405688724017274,7,False,1
Dominic Calvert-Lewin,3,3.0,Everton,7.3,12.446938519299408,6,True,1
Jack Harrison,3,2.0,Leeds United,5.5,3.605478400781208,7,False,0
Pierre-Emerick Aubameyang,3,2.0,Arsenal,11.9,2.199146343405518,2,False,0
Adama TraorÃ©,3,2.0,Wolverhampton,6.5,3.847717214961869,2,False,0
Alex McCarthy,3,0.0,Southampton,4.5,3.5150144409211093,6,False,0
Mathew Ryan,4,0.0,Arsenal,4.5,4.598118084927698,0,False,1
Andrew Robertson,4,1.0,Liverpool,7.0,8.903109174843207,-1,False,1
Stuart Dallas,4,1.0,Leeds United,4.5,6.599243788159583,1,False,1
Virgil van Dijk,4,1.0,Liverpool,6.5,5.547943278323549,-2,False,1
Mohamed Salah,4,2.0,Liverpool,12.2,13.362744565333426,13,False,1
James RodrÃ­guez,4,2.0,Everton,7.7,12.410859891326805,18,False,1
Kevin De Bruyne,4,2.0,Manchester City,11.7,11.359759943327743,2,False,1
Wilfried Zaha,4,2.0,Crystal Palace,7.2,6.967354105417558,2,False,1
Dominic Calvert-Lewin,4,3.0,Everton,7.5,12.10892978190486,6,False,1
Neal Maupay,4,3.0,Brighton,6.5,9.274307195967134,6,False,1
Patrick Bamford,4,3.0,Leeds United,5.8,14.109800930334671,1,True,1
Alex McCarthy,4,0.0,Southampton,4.5,3.7987363755206194,9,False,0
Tomas Soucek,4,2.0,West Ham United,5.0,4.064424966089387,3,False,0
James Justin,4,1.0,Leicester,4.7,3.5468764557907804,1,False,0
Victor LindelÃ¶f,4,1.0,Manchester United,4.9,3.3593745357091267,0,False,0
Mathew Ryan,5,0.0,Arsenal,4.5,3.644770637527526,1,False,1
Andrew Robertson,5,1.0,Liverpool,7.0,11.569138373905794,6,False,1
Stuart Dallas,5,1.0,Leeds United,4.5,5.447069875116105,2,False,1
James Justin,5,1.0,Leicester,4.7,3.329485151442954,2,False,1
Mohamed Salah,5,2.0,Liverpool,12.3,14.30616559688951,7,True,1
Heung-Min Son,5,2.0,Tottenham Hotspur,9.2,12.4505464138857,13,False,1
James RodrÃ­guez,5,2.0,Everton,7.9,11.133795755504869,4,False,1
Wilfried Zaha,5,2.0,Crystal Palace,7.2,6.744705358400786,9,False,1
Neal Maupay,5,3.0,Brighton,6.6,8.860968934367497,2,False,1
Patrick Bamford,5,3.0,Leeds United,5.8,6.5122872664204525,2,False,1
Dominic Calvert-Lewin,5,3.0,Everton,7.6,10.942986034987715,6,False,1
Virgil van Dijk,5,1.0,Liverpool,6.5,1.1158825798528214,1,False,0
Alex McCarthy,5,0.0,Southampton,4.5,3.037811662164621,1,False,0
Tomas Soucek,5,2.0,West Ham United,4.9,2.1274291656473947,1,False,0
Victor LindelÃ¶f,5,1.0,Manchester United,4.9,1.3491064395104533,2,False,0
Mathew Ryan,6,0.0,Arsenal,4.5,3.544707876400246,2,False,1
Andrew Robertson,6,1.0,Liverpool,7.1,4.567160686092234,2,False,1
Stuart Dallas,6,1.0,Leeds United,4.5,3.851224281877737,6,False,1
James Justin,6,1.0,Leicester,4.8,3.546876455790781,6,False,1
Heung-Min Son,6,2.0,Tottenham Hotspur,9.4,14.57564964947398,11,True,1
Bruno Miguel Borges Fernandes,6,2.0,Manchester United,10.5,14.280766673147353,3,False,1
Mohamed Salah,6,2.0,Liverpool,12.3,14.19579987912132,2,False,1
Wilfried Zaha,6,2.0,Crystal Palace,7.2,10.99010230487388,13,False,1
Dominic Calvert-Lewin,6,3.0,Everton,7.7,6.467354105417558,1,False,1
Patrick Bamford,6,3.0,Leeds United,5.8,6.251417701203062,17,False,1
Neal Maupay,6,3.0,Brighton,6.6,6.757726169337083,2,False,1
Virgil van Dijk,6,1.0,Liverpool,6.4,0.5430163727657016,0,False,0
Victor LindelÃ¶f,6,1.0,Manchester United,4.9,2.177311238399476,6,False,0
Alex McCarthy,6,0.0,Southampton,4.5,3.112093847095128,6,False,0
Tomas Soucek,6,2.0,West Ham United,4.9,3.598862859325016,2,False,0
Mathew Ryan,7,0.0,Arsenal,4.5,4.170948704500614,0,False,1
Victor LindelÃ¶f,7,1.0,Manchester United,4.9,2.6274291656473947,2,False,1
Andrew Robertson,7,1.0,Liverpool,7.1,7.198662291233697,2,False,1
Stuart Dallas,7,1.0,Leeds United,4.5,3.211724705642882,6,False,1
James Justin,7,1.0,Leicester,4.8,2.714385687386525,2,False,1
Heung-Min Son,7,2.0,Tottenham Hotspur,9.5,8.35236721029159,2,True,1
Mohamed Salah,7,2.0,Liverpool,12.4,7.8163302695539265,8,False,1
Wilfried Zaha,7,2.0,Crystal Palace,7.3,7.076049757591471,1,False,1
Bruno Miguel Borges Fernandes,7,2.0,Manchester United,10.5,6.3433655698618905,2,False,1
Dominic Calvert-Lewin,7,3.0,Everton,7.7,4.839837434086521,8,False,1
Patrick Bamford,7,3.0,Leeds United,5.9,5.294895962072627,2,False,1
Neal Maupay,7,3.0,Brighton,6.6,0.6323820838266005,0,False,0
Virgil van Dijk,7,1.0,Liverpool,6.4,0.16465989458620822,0,False,0
Alex McCarthy,7,0.0,Southampton,4.5,2.5839509047778297,3,False,0
Tomas Soucek,7,2.0,West Ham United,4.9,2.0782333366204737,2,False,0
