Name,id,appearances,goals,wins,losses,clean_sheets,goals_conceded,tackles,tackle_success_%,last_man_tackles,blocked_shots,interceptions,clearances,headed_clearance,clearances_off_line,recoveries,duels_won,duels_lost,successful_50/50s,aerial_battles_won,aerial_battles_lost,own_goals,errors_leading_to_goal,assists,passes,passes_per_match,big_chances_created,crosses,cross_accuracy_%,through_balls,accurate_long_balls,yellow_cards,red_cards,fouls,offsides,headed_goals,goals_with_right_foot,goals_with_left_foot,hit_woodwork,big_chances_missed,freekicks_scored,goals_per_match,penalties_scored,shooting_accuracy_%,shots,shots_on_target,catches,goal_kicks,high_claims,penalties_saved,punches,saves,sweeper_clearances,throw_outs,season
Liam Rosenior,-1.0,141.0,1.0,45.0,61.0,26.0,122.0,234.0,73.0,0.0,8.0,94.0,365.0,58.0,5.0,197.0,408.0,329.0,58.0,57.0,76.0,2.0,0.0,7.0,2997.0,21.26,4.0,271.0,24.0,2.0,170.0,17.0,1.0,58.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Wayne Routledge,-1.0,297.0,16.0,86.0,138.0,0.0,0.0,243.0,78.0,0.0,48.0,139.0,114.0,27.0,0.0,845.0,725.0,1292.0,217.0,61.0,236.0,0.0,1.0,29.0,5822.0,19.6,25.0,769.0,22.0,41.0,210.0,12.0,1.0,227.0,70.0,1.0,13.0,2.0,1.0,13.0,0.0,0.05,0.0,38.0,172.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Charlie Rowan,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Antonio Rüdiger,102380.0,105.0,7.0,60.0,24.0,43.0,93.0,129.0,63.0,0.0,18.0,96.0,321.0,174.0,2.0,658.0,446.0,346.0,18.0,252.0,177.0,2.0,1.0,1.0,7593.0,72.31,6.0,24.0,17.0,15.0,457.0,16.0,0.0,95.0,4.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Mat Ryan,-1.0,124.0,0.0,29.0,55.0,28.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3596.0,29.0,0.0,0.0,0.0,0.0,1017.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1015.0,78.0,2.0,41.0,362.0,18.0,559.0,1
Abdelhamid Sabiri,246878.0,7.0,0.0,0.0,5.0,0.0,0.0,7.0,71.0,0.0,3.0,2.0,2.0,0.0,0.0,10.0,27.0,27.0,1.0,14.0,14.0,0.0,0.0,1.0,106.0,15.14,0.0,1.0,1.0,0.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Henri Saivet,-1.0,5.0,1.0,3.0,2.0,0.0,0.0,18.0,67.0,0.0,0.0,9.0,10.0,3.0,0.0,24.0,23.0,20.0,1.0,3.0,7.0,0.0,1.0,0.0,106.0,21.2,0.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,0.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Mamadou Sakho,40784.0,128.0,3.0,53.0,45.0,32.0,169.0,146.0,72.0,5.0,4.0,200.0,701.0,442.0,3.0,858.0,540.0,356.0,49.0,301.0,229.0,0.0,3.0,2.0,5989.0,46.79,2.0,6.0,33.0,2.0,282.0,6.0,1.0,41.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Bakary Sako,44343.0,47.0,5.0,15.0,23.0,0.0,0.0,33.0,85.0,0.0,18.0,15.0,7.0,2.0,0.0,111.0,108.0,158.0,29.0,22.0,38.0,0.0,0.0,1.0,519.0,11.04,8.0,123.0,19.0,0.0,24.0,1.0,0.0,24.0,14.0,0.0,2.0,3.0,1.0,5.0,0.0,0.11,0.0,40.0,55.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Martin Samuelsen,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Alexis Sánchez,37265.0,154.0,63.0,86.0,30.0,0.0,0.0,227.0,0.0,0.0,156.0,121.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,6383.0,41.45,52.0,396.0,0.0,0.0,0.0,19.0,0.0,170.0,82.0,9.0,48.0,6.0,15.0,36.0,5.0,0.41,3.0,39.0,462.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Jadon Sancho,-1.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,25.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Max Sanders,215062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Leroy Sané,182156.0,90.0,25.0,68.0,9.0,0.0,0.0,86.0,0.0,0.0,40.0,38.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2636.0,29.29,31.0,243.0,0.0,0.0,0.0,9.0,0.0,47.0,37.0,0.0,1.0,23.0,7.0,17.0,0.0,0.28,0.0,39.0,148.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Santi Cazorla,-1.0,129.0,25.0,78.0,24.0,0.0,0.0,213.0,76.0,0.0,111.0,174.0,69.0,26.0,0.0,868.0,656.0,647.0,268.0,19.0,62.0,0.0,2.0,35.0,8564.0,66.39,43.0,597.0,24.0,129.0,438.0,12.0,1.0,67.0,8.0,1.0,14.0,10.0,5.0,8.0,0.0,0.19,8.0,36.0,313.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Sean Scannell,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Ezequiel Schelotto,74375.0,28.0,0.0,7.0,12.0,0.0,37.0,24.0,67.0,0.0,3.0,26.0,64.0,37.0,0.0,99.0,92.0,86.0,20.0,33.0,21.0,0.0,0.0,0.0,576.0,20.57,1.0,48.0,13.0,1.0,35.0,5.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Christopher Schindler,85368.0,74.0,1.0,12.0,45.0,14.0,124.0,144.0,67.0,2.0,3.0,145.0,399.0,204.0,0.0,278.0,474.0,298.0,3.0,292.0,204.0,0.0,1.0,1.0,2940.0,39.73,4.0,4.0,4.0,0.0,241.0,10.0,2.0,56.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Jeffrey Schlupp,86417.0,176.0,13.0,63.0,74.0,0.0,0.0,307.0,68.0,0.0,46.0,197.0,229.0,124.0,0.0,654.0,873.0,911.0,204.0,235.0,301.0,0.0,1.0,10.0,3561.0,20.23,14.0,223.0,19.0,4.0,173.0,17.0,0.0,135.0,3.0,1.0,4.0,8.0,0.0,11.0,0.0,0.07,0.0,30.0,149.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Kasper Schmeichel,17745.0,253.0,0.0,111.0,84.0,76.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,7392.0,29.22,0.0,0.0,0.0,0.0,2146.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1964.0,176.0,5.0,110.0,704.0,149.0,866.0,1
Morgan Schneiderlin,42774.0,200.0,13.0,85.0,58.0,0.0,0.0,565.0,75.0,0.0,31.0,472.0,339.0,131.0,0.0,1199.0,1030.0,921.0,80.0,267.0,245.0,0.0,1.0,3.0,9956.0,49.78,7.0,111.0,25.0,20.0,694.0,38.0,3.0,315.0,5.0,3.0,8.0,2.0,2.0,3.0,0.0,0.06,0.0,23.0,123.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Ryan Schofield,241791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Kyle Scott,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Matz Sels,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
