assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,position,init_price,team_code,gw,id,total_points,total_points_1,total_points_2,total_points_3,total_points_4
0,0,0,0,0.0,535,269,0,0,0.0,0.0,0,7,0,0,0,0,0,6993,0.0,2.0,0.0,44,171,127,45,1,0,4.0,44.0,20.0,27,200088,0,0,0,0,0
0,0,0,0,0.0,535,280,0,0,0.0,0.0,0,21,0,0,0,0,0,7124,1.0,3.0,0.0,36,170,134,45,0,0,4.0,44.0,20.0,28,200088,0,0,0,0,0
0,0,0,0,0.0,535,289,0,0,0.0,0.0,0,4,0,0,0,0,0,7101,1.0,0.0,0.0,-52,87,139,45,1,0,4.0,44.0,20.0,29,200088,0,0,0,0,0
0,0,0,0,0.0,535,297,0,0,0.0,0.0,0,45,0,0,0,0,0,7489,3.0,0.0,0.0,174,466,292,44,0,0,4.0,44.0,20.0,30,200088,0,0,0,0,0
0,0,0,0,0.0,535,308,0,0,0.0,0.0,0,3,0,0,0,0,0,7532,2.0,0.0,0.0,-45,97,142,44,1,0,4.0,44.0,20.0,31,200088,0,0,0,0,0
0,0,0,0,0.0,535,319,0,0,0.0,0.0,0,57,0,0,0,0,0,7593,3.0,1.0,0.0,13,99,86,44,0,0,4.0,44.0,20.0,32,200088,0,0,0,0,0
0,0,0,0,0.0,535,328,0,0,0.0,0.0,0,43,0,0,0,0,0,7614,0.0,1.0,0.0,-30,111,141,44,1,0,4.0,44.0,20.0,33,200088,0,0,0,0,0
0,0,0,0,0.0,535,336,0,0,0.0,0.0,0,11,0,0,0,0,0,7626,1.0,1.0,0.0,-19,78,97,44,0,0,4.0,44.0,20.0,34,200088,0,0,0,0,-999
0,0,0,0,0.0,535,345,0,0,0.0,0.0,0,1,0,0,0,0,0,7676,2.0,2.0,0.0,4,124,120,44,0,0,4.0,44.0,20.0,35,200088,0,0,0,-999,-999
0,0,0,0,0.0,535,359,0,0,0.0,0.0,0,36,0,0,0,0,0,7688,1.0,1.0,0.0,-25,78,103,44,1,0,4.0,44.0,20.0,36,200088,0,0,-999,-999,-999
0,0,0,0,0.0,535,362,0,0,0.0,0.0,0,91,0,0,0,0,0,7721,2.0,0.0,0.0,-11,84,95,44,0,0,4.0,44.0,20.0,37,200088,0,-999,-999,-999,-999
