id,appearances,goals,wins,losses,clean_sheets_x,goals_conceded_x,tackles,tackle_success_%,last_man_tackles,blocked_shots,interceptions,clearances,headed_clearance,clearances_off_line,recoveries,duels_won,duels_lost,successful_50/50s,aerial_battles_won,aerial_battles_lost,own_goals_x,errors_leading_to_goal,assists_x,passes,passes_per_match,big_chances_created,crosses,cross_accuracy_%,through_balls,accurate_long_balls,yellow_cards_x,red_cards_x,fouls,offsides,headed_goals,goals_with_right_foot,goals_with_left_foot,hit_woodwork,big_chances_missed,freekicks_scored,goals_per_match,penalties_scored,shooting_accuracy_%,shots,shots_on_target,catches,goal_kicks,high_claims,penalties_saved_x,punches,saves_x,sweeper_clearances,throw_outs,assists_y,bonus,bps,clean_sheets_y,creativity,element,fixture,goals_conceded_y,goals_scored,ict_index,influence,minutes,opponent_team,own_goals_y,penalties_missed,penalties_saved_y,red_cards_y,saves_y,selected,team_a_score,team_h_score,threat,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards_y,position,init_price,team_code,gw,total_points_1,total_points_2,total_points_3,total_points_4,total_points_5
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,158,105,0,0,0.0,0.0,0,36,0,0,0,0,0,30068,1.0,3.0,0.0,-788,147,935,43,1,0,2.0,43.0,11.0,11,1,0,0,0,0
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0.0,158,113,0,0,0.1,1.2,14,8,0,0,0,0,0,29275,0.0,0.0,0.0,-824,74,898,43,0,0,2.0,43.0,11.0,12,0,0,0,0,0
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,158,124,0,0,0.0,0.0,0,99,0,0,0,0,0,29392,0.0,1.0,0.0,-79,406,485,43,1,0,2.0,43.0,11.0,13,0,0,0,0,0
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,158,137,0,0,0.0,0.0,0,14,0,0,0,0,0,29229,0.0,1.0,0.0,-227,136,363,43,0,0,2.0,43.0,11.0,14,0,0,0,0,0
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,158,149,0,0,0.0,0.0,0,4,0,0,0,0,0,29052,1.0,1.0,0.0,-230,164,394,43,1,0,2.0,43.0,11.0,15,0,0,0,0,0
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,158,156,0,0,0.0,0.0,0,57,0,0,0,0,0,28903,2.0,2.0,0.0,-234,176,410,43,1,0,2.0,43.0,11.0,16,0,0,0,0,0
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,158,166,0,0,0.0,0.0,0,43,0,0,0,0,0,28761,1.0,3.0,0.0,-267,211,478,43,0,0,2.0,43.0,11.0,17,0,0,0,0,0
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,158,175,0,0,0.0,0.0,0,6,0,0,0,0,0,28658,6.0,2.0,0.0,-206,177,383,43,1,0,2.0,43.0,11.0,18,0,0,0,0,0
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,158,182,0,0,0.0,0.0,0,90,0,0,0,0,0,28459,5.0,1.0,0.0,-287,172,459,43,0,0,2.0,43.0,11.0,19,0,0,0,0,0
7645.0,376.0,18.0,151.0,117.0,107.0,417.0,708.0,76.0,24.0,39.0,628.0,3000.0,1089.0,10.0,1662.0,1861.0,952.0,35.0,796.0,507.0,7.0,6.0,9.0,14979.0,39.84,8.0,132.0,30.0,11.0,1851.0,24.0,3.0,167.0,3.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,158,191,0,0,0.0,0.0,0,36,0,0,0,0,0,28215,0.0,1.0,0.0,-340,173,513,43,0,0,2.0,43.0,11.0,20,0,0,0,0,0
